Dept,CourseName,Instructor
MARS,"Crisis, Creativity, and Transformation in Late Antiquity",William North
MARS,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
MARS,Livy,Kathryn Steed
MARS,Nietzsche: Beyond Good and Evil*,Laurence Cooper
MARS,Introduction to Islam,Noah Salomon
MUSC,America's Music,Melinda Russell
MUSC,Introduction to Conducting,Hector Valdivia
MUSC,Music Theory II,Justin London
MUSC,Baroque and Classical Music,Lawrence Archbold
MUSC,Composition Studio,Jeff Trevino
MUSC,Integrative Exercise,Lawrence Archbold
MUSC,Piano,"Staff, Nikki Melville"
MUSC,Piano,Nikki Melville
MUSC,Piano,Loren Fishman
MUSC,Piano,Matthew McCright
MUSC,Piano,Marcia Widman
MUSC,Piano (Juried),"Staff, Nikki Melville"
MUSC,Piano (Juried),Nikki Melville
MUSC,Piano (Juried),Loren Fishman
MUSC,Piano (Juried),Matthew McCright
MUSC,Piano (Juried),Marcia Widman
MUSC,Voice,"Staff, Lawrence Burnett"
MUSC,Voice,Lawrence Burnett
MUSC,Voice,Ben Allen
MUSC,Voice,Patricia Kent
MUSC,Voice,Mary Martz
MUSC,Voice,Rick Penning
MUSC,Voice (Juried),"Staff, Lawrence Burnett"
MUSC,Voice (Juried),Lawrence Burnett
MUSC,Voice (Juried),Ben Allen
MUSC,Voice (Juried),Patricia Kent
MUSC,Voice (Juried),Mary Martz
MUSC,Voice (Juried),Rick Penning
MUSC,Guitar,Mark Kreitzer
MUSC,Guitar (Juried),Mark Kreitzer
MUSC,Violin,"Staff, Hector Valdivia"
MUSC,Violin,Hector Valdivia
MUSC,Violin,Liz Ericksen
MUSC,Violin,Mary Horozaniecki
MUSC,Violin (Juried),"Staff, Hector Valdivia"
MUSC,Violin (Juried),Hector Valdivia
MUSC,Violin (Juried),Liz Ericksen
